author_nidn,author_name,openalex_id,faculty,total_publications,total_citations,h_index,i10_index,avg_citations_per_paper,publications_last_5_years,citations_last_5_years,most_cited_paper,most_cited_paper_citations,first_publication_year,latest_publication_year,open_access_percentage
"","Deden Abdul Wahab Syaroni","A5045821679","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Sufa Atin","A5028531998","Fakultas Lainnya","0","0","7","5","0","0","0","","0","","","0"
"","Nungki Heriyati","A5061322600","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Erna Susilawati","A5044580824","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Sri Nurhayati","A5101869527","Fakultas Lainnya","0","0","5","1","0","0","0","","0","","","0"
"","Rini Maulina","A5087822249","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Muhammad Aria","A5113913095","Fakultas Lainnya","0","0","5","0","0","0","0","","0","","","0"
"","Hery Dwi Yulianto","A5026409626","Fakultas Lainnya","0","0","4","2","0","0","0","","0","","","0"
"","Susmini Indriani Lestariningati","A5011371610","Fakultas Lainnya","0","0","5","2","0","0","0","","0","","","0"
"","Andri Heryandi","A5021155360","Fakultas Lainnya","0","0","7","3","0","0","0","","0","","","0"
"","Nelly Indriani Widiastuti","A5112485587","Fakultas Lainnya","0","0","4","3","0","0","0","","0","","","0"
"","Rani Puspita Dhaniawaty","A5025175324","Fakultas Lainnya","0","0","4","2","0","0","0","","0","","","0"
"","Lita Wulantika","A5029941170","Fakultas Lainnya","0","0","5","3","0","0","0","","0","","","0"
"","Windi Novianti","A5109673351","Fakultas Lainnya","0","0","3","1","0","0","0","","0","","","0"
"","Taufan Hidayatullah","A5025686144","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Syahrul Syahrul","A5100685669","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Salmon Priaji Martana","A5075498602","Fakultas Lainnya","0","0","4","2","0","0","0","","0","","","0"
"","Muhammad Fajar Sidiq","A5101556041","Fakultas Lainnya","0","0","4","3","0","0","0","","0","","","0"
"","Angga Setiyadi","A5112724136","Fakultas Lainnya","0","0","4","1","0","0","0","","0","","","0"
"","Malik Abdul Aziz","A5029342566","Fakultas Lainnya","0","0","3","1","0","0","0","","0","","","0"
"","Sohadi Warya","A5067579500","Fakultas Lainnya","0","0","4","4","0","0","0","","0","","","0"
"","Anisa Arianingsih","A5084875381","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Ivan Kurniawan","A5108673192","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Mari Maryati","A5111009651","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Nisrina Dewi Salsabila","A5072366085","Fakultas Lainnya","0","0","3","1","0","0","0","","0","","","0"
"","Ednawati Rainarli","A5074131973","Fakultas Lainnya","0","0","6","2","0","0","0","","0","","","0"
"","Wahyudi Wahyudi","A5102007520","Fakultas Lainnya","0","0","5","2","0","0","0","","0","","","0"
"","Tatik Fidowaty","A5020934516","Fakultas Lainnya","0","0","3","1","0","0","0","","0","","","0"
"","Hani Irmayanti","A5036392006","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Galih Hermawan","A5060306973","Fakultas Lainnya","0","0","5","2","0","0","0","","0","","","0"
"","Apriani Puti Purfini","A5088788576","Fakultas Lainnya","0","0","3","2","0","0","0","","0","","","0"
"","Mustafa Zakaria","A5102292931","Fakultas Lainnya","0","0","4","1","0","0","0","","0","","","0"
"","Ramadhan Syaeful Bahri","A5002229872","Fakultas Lainnya","0","0","4","3","0","0","0","","0","","","0"
"","Iyan Andriana","A5005956276","Fakultas Lainnya","0","0","3","1","0","0","0","","0","","","0"
"","Hetty Hassanah","A5011872561","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Tatang Suheri","A5031105237","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Tati Harihayati","A5031828671","Fakultas Lainnya","0","0","4","0","0","0","0","","0","","","0"
"","Inta Budi Setya Nusa","A5043187025","Fakultas Lainnya","0","0","4","2","0","0","0","","0","","","0"
"","Romeiza Syafriharti","A5051992912","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Tiara Isfiaty","A5071976564","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Dina Oktafiani","A5009081764","Fakultas Lainnya","0","0","5","1","0","0","0","","0","","","0"
"","Hendar Rubedo","A5013886581","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Febry Maharlika","A5046733918","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Agis Abhi Rafdhi","A5063675287","Fakultas Lainnya","0","0","6","3","0","0","0","","0","","","0"
"","Diana Andriani","A5073011564","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Didik Sofian Haryadi","A5086577918","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Utami Dewi Widianti","A5061072178","Fakultas Lainnya","0","0","4","1","0","0","0","","0","","","0"
"","Andika Prasetya Nugraha","A5114109845","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Dedeng Hirawan","A5010865916","Fakultas Lainnya","0","0","4","0","0","0","0","","0","","","0"
"","Andi Harapan","A5024167552","Fakultas Lainnya","0","0","3","2","0","0","0","","0","","","0"
"","Irfan Maliki","A5030798231","Fakultas Lainnya","0","0","3","1","0","0","0","","0","","","0"
"","Reza Rahardian","A5038488507","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Iskandar Ikbal","A5044665914","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Tono Hartono","A5050799936","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","A Yahya","A5019399627","Fakultas Lainnya","0","0","4","0","0","0","0","","0","","","0"
"","Dina Fatimah","A5020465915","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Ryanty Derwentyana Nazhar","A5076630958","Fakultas Lainnya","0","0","3","1","0","0","0","","0","","","0"
"","Yasmi Afrizal","A5091047429","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Ayub Subandi","A5091719461","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","John Adler","A5081546239","Fakultas Lainnya","0","0","4","1","0","0","0","","0","","","0"
"","Raiswati Untsa Mega","A5003555512","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Vitta Pratiwi","A5031403602","Fakultas Lainnya","0","0","4","0","0","0","0","","0","","","0"
"","Adiyana Slamet","A5043099647","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Candra Dwi Hardiana","A5054515271","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Rizky Jumansyah","A5090746172","Fakultas Lainnya","0","0","4","2","0","0","0","","0","","","0"
"","Andre Prasetyo","A5111095124","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Merlina Fatimah Nasruddin","A5023702856","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Vitta Pratiwi","A5109582945","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Wantoro","A5010719409","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Theresia Valentina Lumban Gaol","A5031812268","Fakultas Lainnya","0","0","3","1","0","0","0","","0","","","0"
"","Marwan Lingga","A5046308626","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Amroni Amroni","A5075620373","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Ferry Stephanus Suwita","A5080078965","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Angga Friyanto","A5085589399","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Irfan Dwiguna Sumitra","A5109608870","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Aly Salim","A5038584140","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","M. Remacle","A5046688280","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Andy Victor","A5051444440","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Asti Khoerunisa","A5053537434","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Sudadi Pranata","A5056660051","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Agus Setiana","A5081077764","Fakultas Lainnya","0","0","3","1","0","0","0","","0","","","0"
"","Hafni Rizanuddin Nur","A5082014344","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Ahmad Mufid","A5082240282","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Rahma Wahdiniwaty","A5109676585","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","B. Santoso","A5111206584","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","D. K. Rosa","A5008865309","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Ahadiat Joedawinata","A5018089817","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Deni Nurdiansyah","A5028845479","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Yulia Nur Istiqomah","A5037648107","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","S Surtikanti","A5045205489","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Y Djoko Setiyarto","A5047306336","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Citra Noviyasari","A5053979178","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Yudistira Soegoto","A5072126563","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Zamzam Nurzaman","A5076159279","Fakultas Lainnya","0","0","4","1","0","0","0","","0","","","0"
"","Kevin Fernaldy","A5077260442","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Sudadi Pranata","A5090228233","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Angky Febriansyah","A5108272217","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Euis Neni Hayati","A5109670734","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","T Valentina","A5112492500","Fakultas Lainnya","0","0","4","0","0","0","0","","0","","","0"
"","Y A Hermawan","A5112547593","Fakultas Lainnya","0","0","3","2","0","0","0","","0","","","0"
"","S Wiganepdo","A5002708317","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Tati Harihayati M","A5003925219","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Ayu Pratiwi Ulfah","A5005065492","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Yatna Supriatna","A5025286378","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","T P Sumitra","A5032154078","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Andi Harapan","A5038392870","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Teknik Arsitektur","A5040321693","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Rachmadani Ayu Saputri","A5048778573","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","FALDERIKA FALDERIKA","A5051009014","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Ken Kinanti Purnamasari","A5056048817","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Mochamad Bilal","A5057326389","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Yusuf Affendi Djalari","A5071193559","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Alya Rihhadatul Aisy","A5073905183","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Muhammad Alghani","A5075729863","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Tri Setiani","A5078113890","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Hafsah Ja’afar","A5083358428","Fakultas Lainnya","0","0","4","1","0","0","0","","0","","","0"
"","Rifiati Safariah","A5089845633","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Hendarti Henny","A5091364876","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Tyas Sylva Fitrian Natansya","A5093825622","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Melly Maulin Purwaningwulan","A5104855969","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Raeni Dwisanty","A5110701628","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","M. Yani Syafei","A5111317055","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Tryana Hadi Wijaya","A5113067422","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Mario Joseph Christianto","A5002010130","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Mohammad Ali","A5005475278","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Thinn Mya Mya Swe","A5009744510","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Wawat Karwati","A5014923596","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Sayyidah Nabila Azahra","A5029760245","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Anggi - Restiasari","A5030003099","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Ari Ramadhani","A5040992591","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Zahirah Azhari","A5041945226","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Rika Sovyatun Nissa","A5043193121","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Umi Narimawati","A5045704486","Fakultas Lainnya","0","0","3","0","0","0","0","","0","","","0"
"","Arni Purwanti","A5046851619","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","A Abadi","A5052080172","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","A. S.","A5053769776","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Mazen Dawood Salman","A5056734340","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Maulidina Aisyah","A5059603643","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Sugeng Sugeng","A5060894097","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Mega Rizky","A5066772211","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Mochammad Rizki Pratama","A5067929699","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Sangra Juliano Prakasa","A5069857990","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Elsa Eliana","A5077263771","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","I R Smith","A5087067266","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Muhamad Nur Alfi Syahrin","A5087241991","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Ahadiat Joedawinata","A5088689950","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Ginanjar Tubagus Gumilar","A5106166757","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Sri Dewi Anggadini","A5108952744","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Sandy Hermawan","A5110295540","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Rossyta Dewi","A5110568401","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Adam Mukharil","A5110726620","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","M. Fadjri","A5111004548","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Novia Shafira","A5112361039","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","I Made Aryantha A.","A5112460026","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Amalia Rohmah","A5112533472","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Natasha Puspa Dewi","A5112745318","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Jerzi Bleszynski Pratama","A5113376945","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Poni Sukaesih","A5113494952","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Wildan Guretno Prasetiyo","A5116575978","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Reza Nurdiana","A5004392535","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Resna Amalia Sani","A5004682533","Fakultas Ekonomi dan Bisnis","0","0","2","0","0","0","0","","0","","","0"
"","Ricky Nugraha","A5006195631","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Fenny Febrianty","A5012186362","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Ilham Ahmad Fauzi","A5014225401","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Hardiyanti Budiman","A5014904395","Fakultas Lainnya","0","0","2","2","0","0","0","","0","","","0"
"","Joni Eka Chandra","A5015952864","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Ghani Aziz","A5017331821","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Dini Oktaviani","A5018628918","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Ivan Kurniawan","A5019695659","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Dessy Indriani","A5020209286","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Donny Reza","A5027775441","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Sekar Budi Pratiwi","A5028298741","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Toni Prabowo","A5030860870","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Mustaffa Mohammad Taufiq","A5032002023","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Yuda Satria","A5032384688","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","RICHARD ROBINSON","A5035183475","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Lestari Oktavia","A5038897766","Fakultas Desain","0","0","1","0","0","0","0","","0","","","0"
"","Apsari Dj Hasan","A5039191983","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Aelina Surya","A5039762182","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Syifa Siti Rahayu","A5039948544","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Al’Fisra Salvia Mualim","A5044053452","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Yessica Geovani Basoeki","A5048571955","Fakultas Desain","0","0","0","0","0","0","0","","0","","","0"
"","Muslim Tampubolon","A5048609765","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Eddy Suryanto Soegoto","A5048632251","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Fahmi Ahmad Fauzi","A5049895178","Fakultas Lainnya","0","0","1","1","0","0","0","","0","","","0"
"","Bagas Perdana","A5050519630","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Iman firdaus","A5052933797","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Risti Wulandari","A5053282578","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Ayi Muhammad Iqbal Nasuha","A5053283105","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","R. Tresna","A5053610226","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Salsadilla Mutiara Lestari","A5056813955","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Anne Alexander","A5059486763","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Tatik Rohmawati","A5062074251","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Naufal Raihan","A5063766350","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Dzulfiqar Fickri Rosyid","A5064988758","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Nikita Astria","A5065478451","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Maxalmina Satria Kahfi","A5066235162","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Indra Rahmadi","A5067049276","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Arinita Sandria","A5067546008","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Trianita Anugerah Setiawan","A5068215009","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Wicaksono Wisnu Legowo","A5072689746","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Fifi Anggraeni","A5073205404","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Sufa’atin Sufa’atin","A5075906507","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
"","Elsa Meilani","A5076316376","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Andre Riana Mulya","A5077491210","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Deddy Gunawan","A5078889925","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Anindita Novita","A5079017115","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Muhammad Donie Aulia","A5079591921","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Fajri Abdillah","A5080173303","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","A H Nugroho","A5082573336","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Wartika Wartika","A5083628647","Fakultas Lainnya","0","0","2","0","0","0","0","","0","","","0"
"","Nadya Shaffira","A5084486519","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Muhammad Mutakin","A5087189986","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Rismawaty Rismawaty","A5087575138","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Bima Adhiguna","A5087689951","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Nilam Sekar Sari","A5088068574","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Endah Riana Endarini","A5088553913","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","D A Wahab Sya’roni","A5091756960","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Indah Sri Nurcahyani","A5092479391","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","E. M. Rizky Bani Asmara","A5093096140","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Zahra Afifah Khurrahman","A5100014338","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Anisa Arianingsih","A5100038683","Fakultas Lainnya","0","0","0","0","0","0","0","","0","","","0"
"","Ade Ismayani Rahman","A5101651190","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Yeffry Handoko Putra","A5103843656","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Muhamad Akbar Rahmatullah Suherlan","A5105102576","Fakultas Lainnya","0","0","1","0","0","0","0","","0","","","0"
"","Fadhil Akbar Purnama","A5109405772","Fakultas Lainnya","0","0","2","1","0","0","0","","0","","","0"
